Fecal_Sample_nb,Species,Location,Site,Nest,Exp_Year,Adult_or_Nestling,Capture_Date,cap_doy,Age
L19N005a,TRES,Ithaca,Unit_4,94,2019,Nestling,10-Jun-19,161,6
L19N005b,TRES,Ithaca,Unit_4,94,2019,Nestling,10-Jun-19,161,6
L19N005c,TRES,Ithaca,Unit_4,94,2019,Nestling,10-Jun-19,161,6
L19N005d,TRES,Ithaca,Unit_4,94,2019,Nestling,10-Jun-19,161,6
L19N006a,TRES,Ithaca,Turkey_Hill,3,2019,Nestling,11-Jun-19,162,6
L19N006b,TRES,Ithaca,Turkey_Hill,3,2019,Nestling,11-Jun-19,162,6
L19N006c,TRES,Ithaca,Turkey_Hill,3,2019,Nestling,11-Jun-19,162,6
L19N006d,TRES,Ithaca,Turkey_Hill,3,2019,Nestling,11-Jun-19,162,6
L19N006e,TRES,Ithaca,Turkey_Hill,3,2019,Nestling,11-Jun-19,162,6
L19N007a,TRES,Ithaca,Turkey_Hill,106,2019,Nestling,11-Jun-19,162,6
L19N007b,TRES,Ithaca,Turkey_Hill,106,2019,Nestling,11-Jun-19,162,6
L19N007d,TRES,Ithaca,Turkey_Hill,106,2019,Nestling,11-Jun-19,162,6
L19N008a,TRES,Ithaca,Turkey_Hill,121,2019,Nestling,11-Jun-19,162,6
L19N008b,TRES,Ithaca,Turkey_Hill,121,2019,Nestling,11-Jun-19,162,6
L19N008c,TRES,Ithaca,Turkey_Hill,121,2019,Nestling,11-Jun-19,162,6
L19N008d,TRES,Ithaca,Turkey_Hill,121,2019,Nestling,11-Jun-19,162,6
L19N008e,TRES,Ithaca,Turkey_Hill,121,2019,Nestling,11-Jun-19,162,6
L19N008f,TRES,Ithaca,Turkey_Hill,121,2019,Nestling,11-Jun-19,162,6
L19N009a,TRES,Ithaca,Turkey_Hill,51,2019,Nestling,12-Jun-19,163,6
L19N009b,TRES,Ithaca,Turkey_Hill,51,2019,Nestling,12-Jun-19,163,6
L19N009c,TRES,Ithaca,Turkey_Hill,51,2019,Nestling,12-Jun-19,163,6
