#OTUID	taxonomy	USEARCH	SINTAX	UTAX
OTU1	GS|100.0|BOLD:AAC8614_AY666472;k:Animalia,p:Chordata,c:Aves,o:Passeriformes,f:Hirundinidae,g:Tachycineta,s:Tachycineta bicolor	k:Animalia,p:Chordata,c:Aves,o:Passeriformes,f:Hirundinidae,g:Tachycineta,s:Tachycineta bicolor	k:Animalia,p:Chordata,c:Aves,o:Passeriformes	k:Animalia,p:Chordata,c:Aves,o:Passeriformes
OTU2	US|1.0000|BOLD:ABW4167_NA;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU3	GS|100.0|BOLD:AAW5223_MG167275;k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera,f:Miridae,g:Neolygus,s:Neolygus caryae	k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera,f:Miridae,g:Neolygus,s:Neolygus caryae	k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera,f:Miridae,g:Neolygus,s:Neolygus caryae	k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera
OTU4	GS|98.6|BOLD:AAB1679_NA;k:Animalia,p:Arthropoda,c:Insecta,o:Plecoptera	k:Animalia,p:Arthropoda,c:Insecta,o:Plecoptera	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Plecoptera
OTU5	GS|100.0|BOLD:AAN5879_KR396442;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU6	GS|100.0|BOLD:AAU6544_KR772234;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae,g:Ormosia,s:Ormosia affinis	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae,g:Ormosia,s:Ormosia affinis	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae,g:Ormosia,s:Ormosia affinis	k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera
OTU7	GS|100.0|BOLD:ABW0282_MG093213;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU8	GS|100.0|BOLD:AAF8971_JN294694;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU9	GS|100.0|BOLD:ABX6298_KR773375;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Tipulidae,g:Nephrotoma,s:Nephrotoma ferruginea	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Tipulidae,g:Nephrotoma,s:Nephrotoma ferruginea	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU10	GS|99.7|BOLD:ADI9443_MF757358;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Asilidae,g:Leptogaster,s:Leptogaster flavipes	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Asilidae,g:Leptogaster,s:Leptogaster flavipes	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Asilidae,g:Leptogaster,s:Leptogaster flavipes	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU11	US|1.0000|BOLD:AAN4134_NA;k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera
OTU12	US|1.0000|BOLD:ACB1466_KM968786;k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Sciaridae,g:Leptosciarella	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera
OTU13	GS|100.0|BOLD:ACF7745_NA;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Trichoceridae,g:Trichocera,s:Trichocera regelationis	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Trichoceridae,g:Trichocera,s:Trichocera regelationis	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU14	GS|100.0|BOLD:AAD6051_NA;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Tipulidae,g:Angarotipula,s:Angarotipula illustris	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Tipulidae,g:Angarotipula,s:Angarotipula illustris	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU15	US|1.0000|BOLD:AAA4261_NA;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Tipulidae,g:Tipula	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU16	GS|100.0|BOLD:ACP3905_KR774427;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae,g:Dicranomyia,s:Dicranomyia ponojensis	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae,g:Dicranomyia,s:Dicranomyia ponojensis	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU17	US|1.0000|None;k:Animalia,p:Chordata,c:Reptilia,o:Squamata	No hit	k:Animalia,p:Chordata	k:Animalia,p:Chordata,c:Reptilia,o:Squamata
OTU18	GS|100.0|BOLD:AAF9768_JN291573;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Hybotidae,g:Platypalpus,s:Platypalpus holosericus	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Hybotidae,g:Platypalpus,s:Platypalpus holosericus	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Hybotidae,g:Platypalpus,s:Platypalpus holosericus	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU19	GS|100.0|BOLD:AAK8834_KR392800;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae,g:Metalimnobia,s:Metalimnobia triocellata	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae,g:Metalimnobia,s:Metalimnobia triocellata	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae,g:Metalimnobia	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU20	US|1.0000|None;k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera	No hit	k:Animalia	k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera
OTU21	GS|98.2|BOLD:ABV9305_MG088122;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera
OTU22	GSL|100.0|BOLD:AAP2568_KR564484;k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera,f:Gerridae,g:Gerris,s:Gerris marginatus	k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera,f:Gerridae,g:Gerris	k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera,f:Gerridae,g:Gerris,s:Gerris marginatus	k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera
OTU23	US|1.0000|BOLD:AAL7816_HQ569556;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Psychodidae	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU24	US|1.0000|None;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	No hit	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU25	GS|100.0|BOLD:AAG7276_KM903479;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Sphaeroceridae,g:Leptocera,s:Leptocera erythrocera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Sphaeroceridae,g:Leptocera,s:Leptocera erythrocera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Sphaeroceridae,g:Leptocera,s:Leptocera erythrocera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU26	US|1.0000|BOLD:AAN4488_KP845857;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Thysanoptera,f:Phlaeothripidae,g:Haplothrips,s:Haplothrips tenuipennis	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
