"","sampleID","percent_aquatic_occ","percent_aquatic_ra","num_fam","X","Individual_Band","Exp_Year","Adult_or_Nestling","Sex","Capture_Date","Species","Location","Site","Nest","Capture_Number","Age","Mass","Bill.Head","Flat_Wing","Current_Brood_Size","Nestling_Fate","Notes","site_box_year","Nest_Experiment","Nest_Treatment","Day6_Brood_Mass","Brood_Size_Day6","Nest_Fate","avg_day6_mass","exp_treat","TotalReads","brood_size_sampling_time"
"1","L19N005d",1,1,4,928,NA,"2019","Nestling",NA,"10-Jun-19","TRES","Ithaca","Unit_4","94",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_94_2019","Light","Light_Control",64.85,5,"Fledged",12.97,"Light_Light_Control",198,5
"2","L19N006a",0.444444444444444,0.999571244819208,9,929,NA,"2019","Nestling",NA,"11-Jun-19","TRES","Ithaca","Turkey_Hill","3",NA,"6",NA,NA,NA,NA,NA,NA,"Turkey_Hill_3_2019","Light","Light",65.25,5,"Fledged",13.05,"Light_Light",13994,5
"3","L19N006b",0.5,0.43956704750451,8,930,NA,"2019","Nestling",NA,"11-Jun-19","TRES","Ithaca","Turkey_Hill","3",NA,"6",NA,NA,NA,NA,NA,NA,"Turkey_Hill_3_2019","Light","Light",65.25,5,"Fledged",13.05,"Light_Light",1663,5
"4","L19N007a",1,1,5,934,NA,"2019","Nestling",NA,"11-Jun-19","TRES","Ithaca","Turkey_Hill","106",NA,"6",NA,NA,NA,NA,NA,NA,"Turkey_Hill_106_2019","Light","Light",48.91,5,"Fledged",9.782,"Light_Light",2370,5
"5","L19N007d",0.555555555555556,0.999117164837937,9,936,NA,"2019","Nestling",NA,"11-Jun-19","TRES","Ithaca","Turkey_Hill","106",NA,"6",NA,NA,NA,NA,NA,NA,"Turkey_Hill_106_2019","Light","Light",48.91,5,"Fledged",9.782,"Light_Light",23787,5
"6","L19N008a",0.555555555555556,0.640719709053787,9,937,NA,"2019","Nestling",NA,"11-Jun-19","TRES","Ithaca","Turkey_Hill","121",NA,"6",NA,NA,NA,NA,NA,NA,"Turkey_Hill_121_2019","Light","Light_Control",70,6,"Fledged",11.6666666666667,"Light_Light_Control",15673,6
"7","L19N008b",0.5,0.991336180597925,6,938,NA,"2019","Nestling",NA,"11-Jun-19","TRES","Ithaca","Turkey_Hill","121",NA,"6",NA,NA,NA,NA,NA,NA,"Turkey_Hill_121_2019","Light","Light_Control",70,6,"Fledged",11.6666666666667,"Light_Light_Control",8195,6
"8","L19N008c",0.666666666666667,0.943037974683544,6,939,NA,"2019","Nestling",NA,"11-Jun-19","TRES","Ithaca","Turkey_Hill","121",NA,"6",NA,NA,NA,NA,NA,NA,"Turkey_Hill_121_2019","Light","Light_Control",70,6,"Fledged",11.6666666666667,"Light_Light_Control",158,6
"9","L19N008e",0.8,0.917452830188679,5,941,NA,"2019","Nestling",NA,"11-Jun-19","TRES","Ithaca","Turkey_Hill","121",NA,"6",NA,NA,NA,NA,NA,NA,"Turkey_Hill_121_2019","Light","Light_Control",70,6,"Fledged",11.6666666666667,"Light_Light_Control",424,6
"10","L19N008f",1,1,3,942,NA,"2019","Nestling",NA,"11-Jun-19","TRES","Ithaca","Turkey_Hill","121",NA,"6",NA,NA,NA,NA,NA,NA,"Turkey_Hill_121_2019","Light","Light_Control",70,6,"Fledged",11.6666666666667,"Light_Light_Control",2853,6
"11","L19N009a",0.545454545454545,0.0642209398186315,11,943,NA,"2019","Nestling",NA,"12-Jun-19","TRES","Ithaca","Turkey_Hill","51",NA,"6",NA,NA,NA,NA,NA,NA,"Turkey_Hill_51_2019","Light","Light_Control",39.5,4,"Fledged",9.875,"Light_Light_Control",24260,4
"12","L19N009b",0.4,0.905660377358491,10,944,NA,"2019","Nestling",NA,"12-Jun-19","TRES","Ithaca","Turkey_Hill","51",NA,"6",NA,NA,NA,NA,NA,NA,"Turkey_Hill_51_2019","Light","Light_Control",39.5,4,"Fledged",9.875,"Light_Light_Control",106,4
"13","L19N009c",0.375,0.013357699168951,8,945,NA,"2019","Nestling",NA,"12-Jun-19","TRES","Ithaca","Turkey_Hill","51",NA,"6",NA,NA,NA,NA,NA,NA,"Turkey_Hill_51_2019","Light","Light_Control",39.5,4,"Fledged",9.875,"Light_Light_Control",22983,4
"14","L19N010b",0.55,0.888581202150187,20,947,NA,"2019","Nestling",NA,"12-Jun-19","TRES","Ithaca","Unit_4","78",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_78_2019","Light","Light_Control",54.39,5,"Fledged",10.878,"Light_Light_Control",6139,5
"15","L19N010c",0.44,0.665093430938162,25,948,NA,"2019","Nestling",NA,"12-Jun-19","TRES","Ithaca","Unit_4","78",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_78_2019","Light","Light_Control",54.39,5,"Fledged",10.878,"Light_Light_Control",10382,5
"16","L19N010d",0.4,0.983910633154099,15,949,NA,"2019","Nestling",NA,"12-Jun-19","TRES","Ithaca","Unit_4","78",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_78_2019","Light","Light_Control",54.39,5,"Fledged",10.878,"Light_Light_Control",23991,5
"17","L19N011a",0.421052631578947,0.363138482172795,19,950,NA,"2019","Nestling",NA,"12-Jun-19","TRES","Ithaca","Unit_4","80",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_80_2019","Light","Light",72.86,6,"Fledged",12.1433333333333,"Light_Light",8947,6
"18","L19N011b",0.473684210526316,0.644613852283175,19,951,NA,"2019","Nestling",NA,"12-Jun-19","TRES","Ithaca","Unit_4","80",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_80_2019","Light","Light",72.86,6,"Fledged",12.1433333333333,"Light_Light",26104,6
"19","L19N011c",0.461538461538462,0.00839024390243902,13,952,NA,"2019","Nestling",NA,"12-Jun-19","TRES","Ithaca","Unit_4","80",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_80_2019","Light","Light",72.86,6,"Fledged",12.1433333333333,"Light_Light",15375,6
"20","L19N011d",0.466666666666667,0.38728323699422,15,953,NA,"2019","Nestling",NA,"12-Jun-19","TRES","Ithaca","Unit_4","80",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_80_2019","Light","Light",72.86,6,"Fledged",12.1433333333333,"Light_Light",1730,6
"21","L19N011e",0.5,0.336393989983305,12,954,NA,"2019","Nestling",NA,"12-Jun-19","TRES","Ithaca","Unit_4","80",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_80_2019","Light","Light",72.86,6,"Fledged",12.1433333333333,"Light_Light",2396,6
"22","L19N011f",0.571428571428571,0.640710382513661,7,955,NA,"2019","Nestling",NA,"12-Jun-19","TRES","Ithaca","Unit_4","80",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_80_2019","Light","Light",72.86,6,"Fledged",12.1433333333333,"Light_Light",732,6
