"","sampleID","Individual_Band","Age","Site","Nest","TotalReads"
"A01xL19N010a","L19N010a",NA,"6","Unit_4","78",234
"A01xP19N045","P19N045","263113947","AHY","Unit_1","433",33162
"A01xP19N171","P19N171","281128713","15","Unit_2","111",34
"A01xP19N214","P19N214","272107599","ASY","Unit_4","80",292
"A01xP19N294","P19N294","278172314","12","Unit_4","94",43854
"A01xP19N503","P19N503","281128776","12","Unit_2","119",22197
"A02xL19N011e","L19N011e",NA,"6","Unit_4","80",18461
"A02xP19N053","P19N053","272106711","ASY","Unit_1","427",29566
"A02xP19N301","P19N301","278172322","12","Unit_4","97",26793
"A02xP19N446","P19N446","281128499","12","Unit_2","31",437
"A02xP19N511","P19N511","281128786","12","Unit_1","79",113
"A03xL19N014c","L19N014c",NA,"6","Unit_4","71",39398
"A03xP19N062","P19N062","278171872","SY","Unit_2","3",11598
"A03xP19N270","P19N270","278171884","15","Unit_2","68",2299
"A03xP19N331","P19N331","278172441","12","Turkey_Hill","121",23169
"A03xP19N457","P19N457","281128760","15","Unit_2","57",57
"A04xL19N017b","L19N017b",NA,"6","Turkey_Hill","97",17527
"A04xP19N075","P19N075","278172157","SY","Unit_2","6",1807
"A04xP19N282","P19N282","278172268","15","Unit_2","120",30867
"A04xP19N359","P19N359","278172450","12","Unit_4","78",35721
"A04xP19N468","P19N468","281128682","15","Unit_1","86",57
"A05xP19N089","P19N089","281128704","SY","Unit_1","58",12079
"A05xP19N289","P19N289","278172284","12","Unit_1","47",29584
"A05xP19N374","P19N374","278172460","12","Unit_4","87",20395
"A05xP19N411","P19N411","281128507","15","Unit_2","3",3174
"A05xP19N475","P19N475","281128531","15","Unit_2","85",44243
"A06xP19N095","P19N095","278172159","ASY","Unit_2","25",19439
"A06xP19N222","P19N222","278171886","12","Unit_2","68",4303
"A06xP19N393","P19N393","278172326","12","Turkey_Hill","86",27597
"A06xP19N419","P19N419","281128764","12","Unit_2","57",17306
"A06xP19N486","P19N486","278172295","12","Unit_2","14",44857
"A07xP19N106","P19N106","272107698","ASY","Unit_2","122",13561
"A07xP19N336","P19N336","281128808","12","Unit_2","75",13241
"A07xP19N401","P19N401","278172472","12","Unit_4","71",29061
"A07xP19N500","P19N500","281128542","12","Unit_2","37",57325
"A08xP19N114","P19N114","272106817","ASY","Unit_2","22",2928
"A08xP19N238","P19N238","281128723","15","Unit_2","103",40979
"A08xP19N347","P19N347","281128749","12","Unit_2","29",678
"A08xP19N437","P19N437","278172485","12","Unit_4","95",16355
"A08xP19N520","P19N520","281128790","15","Unit_1","19",99089
"A09xL19N005a","L19N005a",NA,"6","Unit_4","94",88
"A09xP19N010","P19N010","278172094","SY","Unit_1","305",99617
"A09xP19N023","P19N023","263114113","ASY","Unit_4","94",17224
"A09xP19N026","P19N026","272106655","ASY","Turkey_Hill","3",35998
"A09xP19N372","P19N372","281128802","15","Unit_1","81",97
"A10xL19N018f","L19N018f",NA,"6","Unit_4","61",4980
"A10xP19N080","P19N080","278172404","SY","Turkey_Hill","51",36210
