"","sample_name","Individual_Band","Exp_Year","Adult_or_Nestling","Sex","Capture_Date","Species","Location","Site","Nest","Capture_Number","Age","Mass","Bill.Head","Flat_Wing","Current_Brood_Size","Nestling_Fate","Notes","site_box_year","Nest_Experiment","Nest_Treatment","Day6_Brood_Mass","Brood_Size_Day6","Nest_Fate","avg_day6_mass","exp_treat","NCBI_host_subject_ID"
"1","L19N010a",NA,"2019","Nestling",NA,"12-Jun-19","TRES","Ithaca","Unit_4","78",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_78_2019","Light","Light_Control",54.39,5,"Fledged",10.878,"Light_Light_Control","Day_6_nestling_Unit_4_78_2019_L19N010a"
"2","P19N045","263113947","2019","Adult","M","28-May-19","TRES","Ithaca","Unit_1","433","1","AHY",19.75,28,121,NA,"","","Unit_1_433_2019","","Control",NA,NA,"Fledged",NA,"Control","Adult_263113947_28-May-19"
"3","P19N128","272106822","2019","Adult","F","06-Jun-19","TRES","Ithaca","Unit_2","68","3","ASY",19,29.2,115,NA,"","","Unit_2_68_2019","Color_Stress","Cont_Dul",71,6,"Fledged",11.8333333333333,"Color_Stress_Cont_Dul","Adult_272106822_06-Jun-19"
"4","P19N171","281128713","2019","Nestling","Unknown","09-Jun-19","TRES","Ithaca","Unit_2","111",NA,"15",15.5,NA,NA,5,"Died","","Unit_2_111_2019","Color_Stress","Cont_Dul",68,5,"Died",13.6,"Color_Stress_Cont_Dul","Day_15_nestling_281128713_15"
"5","P19N214","272107599","2019","Adult","F","12-Jun-19","TRES","Ithaca","Unit_4","80","3","ASY",19.5,NA,NA,NA,"","","Unit_4_80_2019","Light","Light",72.86,6,"Fledged",12.1433333333333,"Light_Light","Adult_272107599_12-Jun-19"
"6","P19N294","278172314","2019","Nestling","Unknown","16-Jun-19","TRES","Ithaca","Unit_4","94",NA,"12",21.5,25,50,5,"Fledged","","Unit_4_94_2019","Light","Light_Control",64.85,5,"Fledged",12.97,"Light_Light_Control","Day_12_nestling_278172314_12"
"7","P19N503","281128776","2019","Nestling","Unknown","04-Jul-19","TRES","Ithaca","Unit_2","119",NA,"12",23.75,24.1,61,4,"Fledged","Fecal sample should be +100 and tube is mislabeled as -100.","Unit_2_119_2019","","",57,4,"Fledged",14.25,"Control","Day_12_nestling_281128776_12"
"8","P19NB25",NA,"neg_control","neg_control",NA,"","","","","neg_control",NA,NA,NA,NA,NA,NA,NA,NA,"_neg_control_neg_control",NA,NA,NA,NA,NA,NA,"Control","Blank_P19NB25"
"9","L19N011e",NA,"2019","Nestling",NA,"12-Jun-19","TRES","Ithaca","Unit_4","80",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_80_2019","Light","Light",72.86,6,"Fledged",12.1433333333333,"Light_Light","Day_6_nestling_Unit_4_80_2019_L19N011e"
"10","P19N053","272106711","2019","Adult","F","29-May-19","TRES","Ithaca","Unit_1","427","1","ASY",21.5,28.4,112,NA,"","","Unit_1_427_2019","","Control",NA,NA,"Died",NA,"Control","Adult_272106711_29-May-19"
"11","P19N139","272107748","2019","Adult","F","07-Jun-19","TRES","Ithaca","Unit_2","39","3","ASY",19.5,29.1,124,NA,"","","Unit_2_39_2019","Color_Stress","Cont_Con",66,5,"Fledged",13.2,"Color_Stress_Cont_Con","Adult_272107748_07-Jun-19"
"12","P19N301","278172322","2019","Nestling","Unknown","16-Jun-19","TRES","Ithaca","Unit_4","97",NA,"12",21.5,26.9,55,5,"Fledged","","Unit_4_97_2019","Light","Light",67.27,5,"Fledged",13.454,"Light_Light","Day_12_nestling_278172322_12"
"13","P19N423","272108042","2019","Adult","M","22-Jun-19","TRES","Ithaca","Unit_1","329","1","AHY",16.75,29.6,118,NA,"","","Unit_1_329_2019","","Control",NA,NA,"Fledged",NA,"Control","Adult_272108042_22-Jun-19"
"14","P19N446","281128499","2019","Nestling","Unknown","22-Jun-19","TRES","Ithaca","Unit_2","31",NA,"12",19.75,24.8,41,4,"Fledged","","Unit_2_31_2019","Color_Stress","Cont_Dul",36,4,"Fledged",9,"Color_Stress_Cont_Dul","Day_12_nestling_281128499_12"
"15","P19N511","281128786","2019","Nestling","Unknown","05-Jul-19","TRES","Ithaca","Unit_1","79",NA,"12",21.5,26,60,5,"Fledged","Fecal sample should be +100 and tube is mislabeled as -100.","Unit_1_79_2019","","",70,5,"Fledged",14,"Control","Day_12_nestling_281128786_12"
"16","L19N014c",NA,"2019","Nestling",NA,"14-Jun-19","TRES","Ithaca","Unit_4","71",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_71_2019","Light","Light_Control",70,6,"Fledged",11.6666666666667,"Light_Light_Control","Day_6_nestling_Unit_4_71_2019_L19N014c"
"17","P19N062","278171872","2019","Adult","F","30-May-19","TRES","Ithaca","Unit_2","3","1","SY",20,26.5,114,NA,"","","Unit_2_3_2019","Color_Stress","Cont_Dul",60,5,"Fledged",12,"Color_Stress_Cont_Dul","Adult_278171872_30-May-19"
"18","P19N146","278171879","2019","Adult","M","07-Jun-19","TRES","Ithaca","Unit_2","54","1","AHY",20.5,29.4,127,NA,"","Male captured on wrong day.","Unit_2_54_2019","Color_Stress","Pred_Con",60,6,"Fledged",10,"Color_Stress_Pred_Con","Adult_278171879_07-Jun-19"
"19","P19N270","278171884","2019","Nestling","Unknown","15-Jun-19","TRES","Ithaca","Unit_2","68",NA,"15",16.5,NA,NA,6,"Fledged","Microb not fully inserted","Unit_2_68_2019","Color_Stress","Cont_Dul",71,6,"Fledged",11.8333333333333,"Color_Stress_Cont_Dul","Day_15_nestling_278171884_15"
"20","P19N331","278172441","2019","Nestling","Unknown","17-Jun-19","TRES","Ithaca","Turkey_Hill","121",NA,"12",21,26.2,52,6,"Fledged","","Turkey_Hill_121_2019","Light","Light_Control",70,6,"Fledged",11.6666666666667,"Light_Light_Control","Day_12_nestling_278172441_12"
