"","Individual_Band","Exp_Year","Adult_or_Nestling","Sex","Capture_Date","Species","Location","Site","Nest","Capture_Number","Age","Mass","Bill.Head","Flat_Wing","Current_Brood_Size","Nestling_Fate","sampleID","Notes","site_box_year","Nest_Experiment","Nest_Treatment","Day6_Brood_Mass","Brood_Size_Day6","Nest_Fate","avg_day6_mass","exp_treat"
"1","272107739","2019","Adult","F","16-May-19","TRES","Ithaca","Unit_2","111","1","ASY",17,28.1,109,NA,"","P19N001","","Unit_2_111_2019","Color_Stress","Cont_Dul",68,5,"Died",13.6,"Color_Stress_Cont_Dul"
"2","272107786","2019","Adult","F","20-May-19","TRES","Ithaca","Unit_2","103","1","ASY",23,27.6,115.5,NA,"","P19N002","","Unit_2_103_2019","Color_Stress","Cont_Con",54,6,"Fledged",9,"Color_Stress_Cont_Con"
"3","272107805","2019","Adult","F","20-May-19","TRES","Ithaca","Unit_2","35","1","ASY",22,28.4,114.5,NA,"","P19N003","","Unit_2_35_2019","Color_Stress","Pred_Dul",55,5,"Fledged",11,"Color_Stress_Pred_Dul"
"4","212110278","2019","Adult","F","21-May-19","TRES","Ithaca","Unit_1","349","1","ASY",21.75,28.7,115,NA,"","P19N006","","Unit_1_349_2019","","Control",NA,NA,"Fledged",NA,"Control"
"5","272106905","2019","Adult","F","21-May-19","TRES","Ithaca","Liddell","39","1","ASY",19.5,28.6,112,NA,"","","Telomere sample may have a small amount of lysis buffer in it.","Liddell_39_2019","Light","Light",17.32,6,"Fledged",2.88666666666667,"Light_Light"
"6","272107018","2019","Adult","F","21-May-19","TRES","Ithaca","Liddell","41","1","ASY",23,28.7,110,NA,"","P19N005","","Liddell_41_2019","Light","Light",27.13,4,"Fledged",6.7825,"Light_Light"
"7","278172145","2019","Adult","F","21-May-19","TRES","Ithaca","Unit_2","36","1","ASY",22,29.3,119,NA,"","","","Unit_2_36_2019","Color_Stress","Pred_Dul",NA,NA,"Abandoned",NA,"Color_Stress_Pred_Dul"
"8","278172146","2019","Adult","F","21-May-19","TRES","Ithaca","Unit_2","44","1","SY",22,28.2,120,NA,"","P19N004","","Unit_2_44_2019","Color_Stress","Cont_Con",NA,NA,"Abandoned",NA,"Color_Stress_Cont_Con"
"9","88004570","2019","Adult","F","22-May-19","TRES","Ithaca","Unit_2","121","1","ASY",22.5,28.9,119,NA,"","P19N009","","Unit_2_121_2019","Color_Stress","Cont_Dul",8,1,"Fledged",8,"Color_Stress_Cont_Dul"
"10","259122557","2019","Adult","M","22-May-19","TRES","Ithaca","Unit_2","111","1","AHY",21.5,28.9,119,NA,"","P19N008","Male accidentally caught","Unit_2_111_2019","Color_Stress","Cont_Dul",68,5,"Died",13.6,"Color_Stress_Cont_Dul"
"11","272107739","2019","Adult","F","22-May-19","TRES","Ithaca","Unit_2","111","2","ASY",18.25,NA,NA,NA,"","P19N007","","Unit_2_111_2019","Color_Stress","Cont_Dul",68,5,"Died",13.6,"Color_Stress_Cont_Dul"
"12","272106822","2019","Adult","F","23-May-19","TRES","Ithaca","Unit_2","68","1","ASY",20.5,29.1,117.5,NA,"","P19N013","","Unit_2_68_2019","Color_Stress","Cont_Dul",71,6,"Fledged",11.8333333333333,"Color_Stress_Cont_Dul"
"13","278172094","2019","Adult","F","23-May-19","TRES","Ithaca","Unit_1","305","1","SY",20.75,29.2,115,NA,"","P19N010","","Unit_1_305_2019","","Control",NA,NA,"Fledged",NA,"Control"
"14","278172147","2019","Adult","F","23-May-19","TRES","Ithaca","Unit_2","101","1","ASY",22.5,29,115,NA,"","P19N014","","Unit_2_101_2019","Color_Stress","Pred_Dul",52,5,"Fledged",10.4,"Color_Stress_Pred_Dul"
"15","278172148","2019","Adult","F","23-May-19","TRES","Ithaca","Unit_2","93","1","SY",21.5,29.1,119,NA,"","P19N011","","Unit_2_93_2019","Color_Stress","Pred_Dul",NA,NA,"Abandoned",NA,"Color_Stress_Pred_Dul"
"16","281128401","2019","Adult","F","23-May-19","TRES","Ithaca","Unit_2","87","1","SY",20.25,28.1,112,NA,"","P19N012","","Unit_2_87_2019","Color_Stress","Pred_Con",NA,NA,"Abandoned",NA,"Color_Stress_Pred_Con"
"17","88004749","2019","Adult","F","24-May-19","TRES","Ithaca","Unit_1","380","1","ASY",22.75,29.2,121,NA,"","","","Unit_1_380_2019","","Control",NA,NA,"Fledged",NA,"Control"
"18","272107284","2019","Adult","F","24-May-19","TRES","Ithaca","Unit_2","19","1","SY",21.5,28.6,112,NA,"","P19N018","","Unit_2_19_2019","Color_Stress","Pred_Con",NA,NA,"Died",NA,"Color_Stress_Pred_Con"
"19","272107748","2019","Adult","F","24-May-19","TRES","Ithaca","Unit_2","39","1","ASY",23.5,28.2,120,NA,"","","","Unit_2_39_2019","Color_Stress","Cont_Con",66,5,"Fledged",13.2,"Color_Stress_Cont_Con"
"20","278172095","2019","Adult","F","24-May-19","TRES","Ithaca","Unit_1","363","1","SY",21.25,28.8,121,NA,"","","","Unit_1_363_2019","","Control",NA,NA,"Fledged",NA,"Control"
"21","278172096","2019","Adult","F","24-May-19","TRES","Ithaca","Unit_1","421","1","ASY",23.75,28.3,112,NA,"","","","Unit_1_421_2019","","Control",NA,NA,"Fledged",NA,"Control"
"22","278172149","2019","Adult","F","24-May-19","TRES","Ithaca","Unit_2","109","1","SY",20.5,28.6,116,NA,"","P19N017","","Unit_2_109_2019","Color_Stress","Cont_Dul",61,5,"Fledged",12.2,"Color_Stress_Cont_Dul"
