order,family,life_history,common_name,sources,Notes
Diptera,Agromyzidae,terrestrial,Leaf miner flies,https://bugguide.net/node/view/28354,
Psocodea,Amphipsocidae,terrestrial,Hairy-winged Barklice,https://en.wikipedia.org/wiki/Psocoptera,"Appears to be only one species in North America, terrestrial. Lay eggs in foliage, and are found on bark. But also sometimes eat algae."
Hymenoptera,Andrenidae,terrestrial,"Miner, Bare-miner, Fairy, and Oxaeine Be",https://bugguide.net/node/view/4968,
Diptera,Anisopodidae,terrestrial,Wood gnats,https://bugguide.net/node/view/12265,"Larvae found in or near decaying wood or vegetation, fermenting sap, animal manure, tree trunks, mud, and sometimes sewage."
Diptera,Anthomyiidae,terrestrial,Root-maggot flies,https://bugguide.net/node/view/8083,
Araneae,Anyphaenidae,terrestrial,Ghost spiders,https://bugguide.net/node/view/38439,
Hemiptera,Aphididae,terrestrial,Aphids,https://bugguide.net/node/view/147,
Hemiptera,Aphrophoridae,terrestrial,Spittlebugs,https://bugguide.net/node/view/145,
Araneae,Araneidae,terrestrial,Orb weavers,https://bugguide.net/node/view/1972,
Trombidiformes,Arrenuridae,aquatic,Arrenurus water mite,https://en.wikipedia.org/wiki/Arrenuridae,
Diptera,Asilidae,terrestrial,Robber flies,https://bugguide.net/node/view/151,Larvae usually in soil or decaying wood
Ephemeroptera,Baetidae,aquatic,Small mayflies or small minnow mayflies,https://en.wikipedia.org/wiki/Baetidae,
Diptera,Bibionidae,terrestrial,March flies,https://bugguide.net/node/view/3834,
Lepidoptera,Blastobasidae,terrestrial,Scavenger moths,https://bugguide.net/node/view/903637; https://en.wikipedia.org/wiki/Blastobasidae,
Mesostigmata,Blattisociidae,terrestrial,Mites,https://en.wikipedia.org/wiki/Blattisociidae,
Diptera,Bombyliidae,terrestrial,Bee flies,https://bugguide.net/node/view/185,"Larvae mostly parasitoids, terrestrial"
